id,order_id,menu_id,price_level_id,ordered_menu_id,order_check_id,modifier_adjective_id,cancelled_order_id,seat_number,quantity,price,original_price,item_discount,check_discount,discount,tax,tax_exempt,taxable_price,unit_price,for_kitchen_display,time_sent,index,is_printed,cost,note,is_held,name,receipt_name,kitchen_name,employee_log_id,menu_description,time_bumped,tax_id,is_checked,kds_last_update,is_taxed_removed,no_tax_price,refunded_qty,created_on,modified_on,item_gross_total,item_original_wo_vat,item_discount_main,item_discount_adj,vatable_original,vatable_sales_discounted,vatable_amount,vatable_sub_total,vat_exempt_sales,vat_exempt_sales_discounted,vat_exempt_amount,vat_exempt_sub_total,non_vatable_exempt_sales,non_vatable_sub_total,zero_rated_value,zero_rated_sub_total,sub_total,is_cancelled,reason,is_removed_queueing,guest_count
0000324062,0000019075,00000118,001,NULL,0000019080,NULL,NULL,1,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,20:24:32,12,1,0.0000,NULL,0,"Hyangcho Samgyupsal",P5,"Hyangcho Samgyupsal",292,NULL,00:00:00,-1,0,NULL,0,0.0000,0.0000,"2025-07-01 20:24:32","2025-07-01 20:24:32",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,,0,1
0000324063,0000019075,00000076,001,NULL,0000019080,NULL,NULL,1,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,20:24:32,13,1,0.0000,NULL,0,"Egg Souffle","Egg Souffle","Egg Souffle",292,NULL,00:00:00,-1,0,NULL,0,0.0000,0.0000,"2025-07-01 20:24:32","2025-07-01 20:24:32",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,,0,1
0000324054,0000019073,00000114,001,NULL,0000019078,NULL,NULL,1,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,20:17:54,8,1,0.0000,NULL,0,"Plain Samgyupsal",P1,"Plain Samgyupsal",292,NULL,00:00:00,-1,0,NULL,0,0.0000,0.0000,"2025-07-01 20:17:54","2025-07-01 20:17:54",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,,0,1
0000324055,0000019073,00000115,001,NULL,0000019078,NULL,NULL,1,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,20:17:54,9,1,0.0000,NULL,0,"Kajun Bulmat Samgyupsal",P2,"Kajun Bulmat Samgyupsal",292,NULL,00:00:00,-1,0,NULL,0,0.0000,0.0000,"2025-07-01 20:17:54","2025-07-01 20:17:54",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,,0,1
0000324056,0000019073,00000116,001,NULL,0000019078,NULL,NULL,1,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,20:17:54,10,1,0.0000,NULL,0,"Yangyeom Samgyupsal",P3,"Yangyeom Samgyupsal",292,NULL,00:00:00,-1,0,NULL,0,0.0000,0.0000,"2025-07-01 20:17:54","2025-07-01 20:17:54",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,,0,1
0000324057,0000019073,00000117,001,NULL,0000019078,NULL,NULL,1,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,20:17:54,11,1,0.0000,NULL,0,"Citrus Burst Pepper Samgyupsal",P4,"Citrus Burst Pepper Samgyupsal",292,NULL,00:00:00,-1,0,NULL,0,0.0000,0.0000,"2025-07-01 20:17:54","2025-07-01 20:17:54",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,,0,1
0000324047,0000019075,00000046,001,NULL,0000019080,NULL,NULL,1,2.0000,898.0000,449.0000,0.0000,0.0000,0.0000,96.2143,0.0000,801.7857,449.0000,1,20:07:48,1,1,0.0000,NULL,0,"Classic Feast","Classic Feast","Classic Feast",292,NULL,00:00:00,-1,0,NULL,0,0.0000,0.0000,"2025-07-01 20:07:48","2025-07-01 20:07:48",898.0000,801.7857,0.0000,0.0000,898.0000,801.7857,96.2143,898.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,898.0000,0,,0,1
0000324048,0000019075,00000114,001,NULL,0000019080,NULL,NULL,1,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,20:07:48,2,1,0.0000,NULL,0,"Plain Samgyupsal",P1,"Plain Samgyupsal",292,NULL,00:00:00,-1,0,NULL,0,0.0000,0.0000,"2025-07-01 20:07:48","2025-07-01 20:07:48",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,,0,1
0000324049,0000019075,00000115,001,NULL,0000019080,NULL,NULL,1,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,20:07:48,3,1,0.0000,NULL,0,"Kajun Bulmat Samgyupsal",P2,"Kajun Bulmat Samgyupsal",292,NULL,00:00:00,-1,0,NULL,0,0.0000,0.0000,"2025-07-01 20:07:48","2025-07-01 20:07:48",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,,0,1
0000324050,0000019075,00000116,001,NULL,0000019080,NULL,NULL,1,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,20:07:48,4,1,0.0000,NULL,0,"Yangyeom Samgyupsal",P3,"Yangyeom Samgyupsal",292,NULL,00:00:00,-1,0,NULL,0,0.0000,0.0000,"2025-07-01 20:07:48","2025-07-01 20:07:48",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,,0,1
